                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.2777,                 1.0783,                 1.5861,                 0.8145,                0.81919,                 0.8597,                0.54359,                 1.4037,                 1.0122,                 1.8218,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2727,                 1.0736,                 1.5794,                0.78832,                0.80597,                0.81662,                 0.5345,                  1.371,                0.99527,                 1.7873,               0.005644,               0.005644,               0.005644
                     90,                  1.267,                  1.052,                 1.5895,                0.82248,                0.80597,                0.85181,                0.56141,                 1.3476,                0.93647,                 1.7537,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2663,                 1.0702,                 1.5851,                0.74177,                0.70742,                 0.7343,                0.47902,                 1.3369,                 1.1055,                 1.7295,               0.005545,               0.005545,               0.005545
                     92,                 1.2492,                 1.0393,                 1.5854,                0.77857,                0.81343,                0.82549,                0.53372,                 1.3929,                0.97162,                 1.7785,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2738,                 1.0618,                 1.5739,                0.72047,                0.71642,                 0.7148,                0.47392,                 1.3802,                   1.06,                 1.7895,               0.005446,               0.005446,               0.005446
                     94,                 1.2565,                 1.0443,                 1.5863,                   0.75,                0.82836,                0.81574,                 0.5332,                 1.3131,                0.95818,                 1.7182,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2571,                 1.0531,                 1.5791,                0.75377,                0.79957,                0.83416,                0.53088,                 1.3371,                 1.0068,                 1.7017,               0.005347,               0.005347,               0.005347
                     96,                 1.2493,                 1.0427,                 1.5683,                0.82678,                0.85489,                0.88366,                0.57916,                 1.3306,                0.92275,                 1.7511,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2773,                 1.0628,                 1.5821,                  0.883,                0.67585,                0.80956,                0.51398,                 1.4271,                  1.043,                 1.7811,               0.005248,               0.005248,               0.005248
                     98,                  1.258,                 1.0627,                 1.5749,                0.81395,                0.78358,                0.81973,                0.54407,                 1.3076,                0.97317,                 1.7127,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2536,                 1.0508,                 1.5654,                0.86407,                0.64925,                0.78296,                0.50183,                 1.4662,                 1.0766,                 1.8551,               0.005149,               0.005149,               0.005149
                    100,                 1.2106,                 1.0353,                 1.5445,                0.84067,                0.83582,                0.85622,                0.55732,                 1.3791,                0.91714,                 1.7426,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2476,                 1.0023,                 1.5617,                0.80274,                0.77612,                0.81826,                0.51212,                 1.4089,                0.94207,                 1.8192,                0.00505,                0.00505,                0.00505
                    102,                 1.2448,                 1.0431,                 1.5645,                0.79452,                0.89552,                0.87895,                 0.5641,                 1.3048,                0.92029,                 1.6934,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2098,                 1.0053,                 1.5331,                0.81253,                0.79851,                0.83886,                0.55101,                 1.3447,                0.95768,                 1.7336,               0.004951,               0.004951,               0.004951
                    104,                  1.253,                 1.0237,                 1.5674,                0.84657,                0.76866,                0.84849,                0.55115,                  1.379,                0.89376,                 1.7447,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2219,                0.99487,                 1.5415,                0.76692,                0.81032,                0.82665,                0.52634,                 1.3317,                 1.0033,                 1.7382,               0.004852,               0.004852,               0.004852
                    106,                 1.2091,                0.99074,                 1.5346,                0.83355,                0.74627,                0.82582,                0.51252,                 1.3453,                0.99651,                 1.7893,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.2275,                0.99803,                 1.5446,                0.75172,                0.81343,                0.81219,                0.52481,                 1.3498,                0.92093,                 1.7518,               0.004753,               0.004753,               0.004753
